骨发育等级,1,2,3,4,5,6,7,8,9,10,11,12,13,14
桡骨,10,15,22,25,40,59,91,125,138,178,192,199,203,210
尺骨,27,31,36,50,73,95,120,157,168,176,182,189,-,-
掌骨I,5,7,10,16,23,28,34,41,47,53,66,-,-,-
掌骨III,3,5,6,9,14,21,32,40,47,51,-,-,-,-
掌骨V,4,5,7,10,15,22,33,43,47,51,-,-,-,-
近节指骨I,6,7,8,11,17,26,32,38,45,53,60,67,-,-
近节指骨III,3,5,7,9,15,20,25,29,35,41,46,51,-,-
近节指骨V,4,5,7,11,18,21,25,29,34,40,45,50,-,-
中节指骨III,4,5,7,10,16,21,25,29,35,41,46,51,-,-
中节指骨V,3,5,7,12,19,23,27,32,35,39,43,49,-,-
远节指骨I,5,6,8,10,20,31,38,44,45,52,67,-,-,-
远节指骨III,3,5,7,10,16,24,30,33,36,39,49,-,-,-
远节指骨V,5,6,7,11,18,25,29,33,36,39,49,-,-,-
