序号,性别,总分范围,骨龄（岁）
1,男性,100 - 150,4.0 - 5.0
2,男性,151 - 200,5.0 - 6.0
3,男性,201 - 250,6.0 - 7.0
4,男性,251 - 300,7.0 - 8.0
5,男性,301 - 350,8.0 - 9.0
6,男性,351 - 400,9.0 - 10.0
7,男性,401 - 450,10.0 - 11.0
8,男性,451 - 500,11.0 - 12.0
9,男性,501 - 550,12.0 - 13.0
10,男性,551 - 600,13.0 - 14.0
11,男性,601 - 650,14.0 - 15.0
12,男性,651 - 700,15.0 - 16.0
13,男性,701 - 750,16.0 - 17.0
14,男性,751 - 800,17.0 - 18.0
15,女性,100 - 150,3.0 - 4.0
16,女性,151 - 200,4.0 - 5.0
17,女性,201 - 250,5.0 - 6.0
18,女性,251 - 300,6.0 - 7.0
19,女性,301 - 350,7.0 - 8.0
20,女性,351 - 400,8.0 - 9.0
21,女性,401 - 450,9.0 - 10.0
22,女性,451 - 500,10.0 - 11.0
23,女性,501 - 550,11.0 - 12.0
24,女性,551 - 600,12.0 - 13.0
25,女性,601 - 650,13.0 - 14.0
26,女性,651 - 700,14.0 - 15.0
27,女性,701 - 750,15.0 - 16.0
